time	mem	disk	cpu_pct
1615432271	0	7063323883	0.00
1615432291	0	7063495972	0.00
1615432311	0	7064317861	0.00
1615432331	0	7065143520	0.00
1615432351	0	7065847512	0.00
1615432371	0	7066652535	0.00
1615432391	0	7067473128	0.00
1615432411	0	7068160991	0.00
1615432431	0	7068960942	0.00
1615432452	0	7069827566	0.00
1615432472	0	7070573832	0.00
1615432492	0	7071437372	0.00
1615432512	0	7072132564	0.00
1615432532	0	7072832829	0.00
1615432552	0	7073642604	0.00
1615432572	0	7074360281	0.00
1615432592	0	7075045371	0.00
1615432612	0	7075846519	0.00
1615432632	0	7076653201	0.00
1615432652	0	7077362949	0.00
1615432672	0	7078219545	0.00
1615432693	0	7079077863	0.00
1615432713	0	7079803997	0.00
1615432733	0	7080578537	0.00
1615432753	0	7081386859	0.00
1615432773	0	7080761525	0.00
1615432793	0	7082376063	0.00
1615432813	0	7082579273	0.00
1615432833	0	7082013310	0.00
1615432853	0	7084066174	0.00
1615432873	0	7084912761	0.00
1615432893	0	7084465496	0.00
1615432913	0	7086284992	0.00
1615432934	0	7086813181	0.00
1615432954	0	7086130668	0.00
1615432974	0	7087964911	0.00
1615432994	0	7088624987	0.00
1615433014	0	7087995185	0.00
1615433034	0	7089613002	0.00
1615433054	0	7090230869	0.00
1615433074	0	7090855175	0.00
1615433094	0	7091435489	0.00
1615433114	0	7092101091	0.00
1615433134	0	7092707753	0.00
1615433154	0	7093274794	0.00
1615433175	0	7093355499	0.00
1615433195	0	7093811747	0.00
1615433215	0	7093953589	0.00
1615433235	0	7093958786	0.00
1615433255	0	7094531913	0.00
1615433275	0	7095231089	0.00
1615433295	0	7095558220	0.00
1615433315	0	7096377423	0.00
1615433335	0	7097084278	0.00
1615433355	0	7097904010	0.00
1615433375	0	7098729981	0.00
1615433395	0	7099359796	0.00
1615433416	0	7099778425	0.00
1615433436	0	7100489815	0.00
1615433456	0	7099842033	0.00
1615433476	0	7101681715	0.00
1615433496	0	7102481541	0.00
1615433516	0	7101688697	0.00
1615433536	0	7103481754	0.00
1615433556	0	7104266864	0.00
1615433576	0	7103816315	0.00
1615433596	0	7105591644	0.00
1615433616	0	7106405106	0.00
1615433636	0	7105948848	0.00
1615433657	0	7107885282	0.00
1615433677	0	7108578516	0.00
1615433697	0	7107760582	0.00
1615433717	0	7109570183	0.00
1615433737	0	7109871407	0.00
1615433757	0	7110612357	0.00
1615433777	0	7111225628	0.00
1615433797	0	7111920864	0.00
1615433817	0	7112558563	0.00
1615433837	0	7113212232	0.00
1615433857	0	7113977861	0.00
1615433877	0	7114779077	0.00
1615433898	0	7115397523	0.00
1615433918	0	7116091618	0.00
1615433938	0	7116824586	0.00
1615433958	0	7117287026	0.00
1615433978	0	7118102974	0.00
1615433998	0	7118453697	0.00
1615434018	0	7117857783	0.00
1615434038	0	7118126435	0.00
1615434058	0	7118199815	0.00
1615434078	0	7118365373	0.00
1615434098	0	7118291294	0.00
1615434119	0	7118332289	0.00
1615434139	0	7118355849	0.00
1615434159	0	7118383656	0.00
1615434179	0	7118409522	0.00
1615434199	0	7118437649	0.00
1615434219	0	7118458842	0.00
1615434239	0	7118470056	0.00
1615434259	0	7118476632	0.00
1615434279	0	7118479362	0.00
1615434299	0	7118482188	0.00
1615434319	0	7118484734	0.00
1615434339	0	7118486379	0.00
1615434360	0	7118487918	0.00
1615434380	0	7118489562	0.00
1615434400	0	7118490868	0.00
1615434420	0	7118492165	0.00
1615434440	0	7118493397	0.00
1615434460	0	7118498538	0.00
1615434480	0	7118495732	0.00
1615434500	0	7118496969	0.00
1615434520	0	7118518595	0.00
1615434540	0	7118515446	0.00
1615434560	0	7118516145	0.00
1615434581	0	7118516853	0.00
1615434601	0	7118517464	0.00
1615434621	0	7118518170	0.00
1615434641	0	7118518871	0.00
1615434661	0	7118519476	0.00
1615434681	0	7118520198	0.00
1615434701	0	7118520948	0.00
1615434721	0	7118521571	0.00
1615434741	0	7118522279	0.00
1615434761	0	7118522987	0.00
1615434781	0	7118523598	0.00
1615434801	0	7118524306	0.00
1615434822	0	7118525014	0.00
1615434842	0	7118525764	0.00
1615434862	0	7118526410	0.00
1615434882	0	7118527111	0.00
1615434902	0	7118527812	0.00
1615434922	0	7118528417	0.00
1615434942	0	7118529117	0.00
1615434962	0	7118529811	0.00
1615434982	0	7118530410	0.00
1615435002	0	7118531104	0.00
1615435022	0	7118531805	0.00
1615435043	0	7118532446	0.00
1615435063	0	7118533153	0.00
1615435083	0	7118533860	0.00
1615435103	0	7118534465	0.00
1615435123	0	7118535166	0.00
1615435143	0	7118535888	0.00
1615435163	0	7118536582	0.00
1615435183	0	7118537182	0.00
1615435203	0	7118537888	0.00
1615435223	0	7118538589	0.00
1615435243	0	7118539194	0.00
1615435264	0	7118539895	0.00
1615435284	0	7118540596	0.00
1615435304	0	7118541201	0.00
1615435324	0	7118541899	0.00
1615435344	0	7118542597	0.00
1615435364	0	7118543214	0.00
1615435384	0	7118543957	0.00
1615435404	0	7118544676	0.00
1615435424	0	7118545278	0.00
1615435444	0	7118545972	0.00
1615435464	0	7118546666	0.00
1615435484	0	7118547360	0.00
1615435505	0	7118547959	0.00
1615435525	0	7118548654	0.00
1615435545	0	7118549355	0.00
1615435565	0	7118549978	0.00
1615435585	0	7118550685	0.00
1615435605	0	7118551386	0.00
1615435625	0	7118551991	0.00
1615435645	0	7118552690	0.00
1615435665	0	7118553389	0.00
1615435685	0	7118553996	0.00
1615435705	0	7118554695	0.00
1615435726	0	7118555392	0.00
1615435746	0	7118555995	0.00
1615435766	0	7118556688	0.00
1615435786	0	7118557396	0.00
1615435806	0	7118558130	0.00
1615435826	0	7118558738	0.00
1615435846	0	7118559427	0.00
1615435866	0	7118560119	0.00
1615435886	0	7118560718	0.00
1615435906	0	7118561406	0.00
1615435926	0	7118562135	0.00
1615435947	0	7118562764	0.00
1615435967	0	7118563450	0.00
1615435987	0	7118564136	0.00
1615436007	0	7118564729	0.00
1615436027	0	7118565434	0.00
1615436047	0	7118566145	0.00
1615436067	0	7118566734	0.00
1615436087	0	7118567414	0.00
1615436107	0	7118568094	0.00
1615436127	0	7118568781	0.00
1615436147	0	7118569396	0.00
1615436167	0	7283554830	0.00
